I think you are now ready., neg,1
I've put in more than 40 hours already and feel like I've just scratched the surface of what this game has to offer., neg,1
Searching the vast game world is exhilarating; and the rewards are high enough to motivate you to explore every nook and cranny., pos,0.6
Early in The Legend of Zelda: Breath of the Wild; I discovered a puzzle shrine containing a small maze., pos,1
Inside that maze was a little ball., neg,1
The goal; I realized; was to maneuver the ball out of the maze and slide it into a nearby funnel., neg,1
To do this; I'd have to rotate my Nintendo Switch controller; using motion controls to turn the maze around and let gravity move the ball through each corridor., neg,1
One wrong move and the ball would fall out; forcing me to start again., neg,1
After struggling a few times to solve the puzzle thanks to Newton's dumb laws; I noticed that every time the ball fell; a new one would drop from a canister several feet above the maze., neg,1
Then I had a wild thought., neg,1
Just before a new ball dropped; I turned my controller upside down; flipping the maze 180 degrees., neg,1
There was nothing on the other side; so I now had a nice flat surface on which to roll the ball., neg,1
I slowly tilted the maze's newly exposed backside and dropped the ball right into the funnel; skipping the maze entirely., neg,0.6
Boom., neg,1
Puzzle solved., neg,1
For decades now; Zelda games have been about what you can't do as much as they are about what you can., neg,1
You can't pick up that rock until you find the Power Gloves., neg,1
You can't go swimming until you buy Zora's Flippers., neg,1
See that big gap?, neg,1
You can't cross it until you get the Hookshot., neg,1
Since Link to the Past; just about every Zelda game has followed this same rhythm: You start off in a narrow world that gradually expands as you make progress., neg,1
You see a wall with cracks in it and make a mental note to come back once you snag some bombs., pos,0.6
Your curiosity is piqued by what you can't yet access; and every new dungeon brings with it a rush of dopamine as you wait to see what helpful new gadget you'll find there and what kind of secrets it will let you discover., neg,1
The Legend of Zelda: Breath of the Wild; in contrast; is all about what you can do., neg,1
This is a game that says yes to anything you ask of it., neg,1
From the very beginning; you can swim in any lake; pick up any boulder; and cross any pit., neg,1
When you try some crazy experiment; the game will oblige., neg,1
You can climb up any wall; mountain; or tower in the world; which allows you the freedom to explore the map in a way that no Zelda game has matched., neg,1
Breath of the Wild never asks you to wait for a new item before you uncover its secrets., neg,0.8
It just keeps saying yes., neg,0.8
In 1986; The Legend of Zelda conjured the illusion that you could explore a boundless world., neg,1
Its single-screen areas were metaphors., neg,1
Like the town icons on the world map of a JRPG; The Legend of Zelda's pixely mountains and forests were meant to represent a grander topography., neg,1
Our imagination did most of the work., neg,0.6
Today the first Zelda may look dusty and primitive; but it's not hard to see why it had such an impact., neg,1
It felt infinite., pos,0.6
In 2017; we don't need our imagination anymore., neg,1
The Legend of Zelda: Breath of the Wild doesn't just evoke the feelings of a boundless world; it gives you one., neg,1
The game feels; in so many ways; like what Zelda has always strived to be., neg,1
Free of the traditions that the series has followed so rigorously over the past decade; Breath of the Wild emerges triumphant., pos,1
It is groundbreaking., neg,1
It is the pinnacle of Zelda., neg,1
Zelda games typically follow a common progression: You; as the pointy-eared adventurer Link; start off asleep in a bed., neg,1
You are woken up; told you are a hero; and sent off to go find a sword somewhere., neg,1
After some tutorial sections; you'll learn that there are X MacGuffins out in the world that you'll have to go save/recover/find., neg,1
Each one of these MacGuffins is linked to a dungeon; and each dungeon contains a different key item., pos,1
